Frontend File,Frontend Function,HTTP Method,Frontend URL,Backend File,Backend Function,Backend Route,Tables,Stored_Procedure,Flow_calls,Response Model,Columns,Nested Columns
announcements.ts,getAnnouncements,GET,/api/v2/announcements,,,,,,,,,
announcements.ts,getAnnouncement,GET,/api/v2/announcements/{id},,,,,,,,,
announcements.ts,createAnnouncement,POST,/api/v2/announcements,,,,,,,,,
announcements.ts,updateAnnouncement,PUT,/api/v2/announcements/{id},,,,,,,,,
announcements.ts,deleteAnnouncement,DELETE,/api/v2/announcements/{id},,,,,,,,,
announcements.ts,dismissAnnouncement,PUT,/api/v2/announcements/{id}/status,,,,,,,,,
canvases.ts,getCanvases,GET,/api/v2/canvas/{engagement_id},,,,,,,,,
canvases.ts,getDeletedCanvases,GET,/api/v2/canvas/1/deleted,,,,,,,,,
canvases.ts,undeleteCanvas,PUT,/api/v2/canvas/1/undelete/{canvas_id},,,,,,,,,
canvases.ts,createCanvas,POST,/api/v2/canvas,,,,,,,,,
canvases.ts,refreshCanvas,POST,/api/v2/canvas/rebuild,,,,,,,,,
canvases.ts,deleteCanvas,DELETE,/api/v2/canvas/{engagement_id}/canvas/{canvas_id},api\v2\routers\canvas.py,delete_canvas,/{engagement_id}/canvas/{canvas_id},"DC_CANVAS_HDR,DC_CAM_TO_ENGAGEMENT",,emit_canvas_deleted,,,
canvases.ts,getCustomerCollectorFiles,GET,/api/v2/canvas/{engagement_id}/evidence_uploads,,,,,,,,,
canvases.ts,getSnapshotDates,GET,/api/v2/canvas/snapshots,,,,,,,,,
contracts.ts,getLinkableContracts,GET,/api/v2/contracts/linkable/,,,,,,,,,
contracts.ts,getContractsBooking,GET,/api/v2/contracts/booking/{dc_engagement_id},,,,,,,,,
contracts.ts,updateManagedContract,POST,/api/v2/contracts/managed/{dc_engagement_id},,,,,,,,,
contracts.ts,createManagedContractLink,POST,/api/v2/contracts/linkable/,,,,,,,,,
contracts.ts,getContractsMonitor,GET,/api/v2/contracts/monitor/{dc_engagement_id},,,,,,,,,
contracts.ts,createContractsMonitor,POST,/api/v2/contracts/monitor/{engagement_id},,,,,,,,,
contracts.ts,deleteMonitorContract,DELETE,/api/v2/contracts/monitor/{dc_engagement_id}/{contract_number},,,,,,,,,
contracts.ts,updateMonitorContract,PUT,/api/v2/contracts/monitor/{dc_engagement_id},,,,,,,,,
dcTypes.ts,getDcTypes,GET,/api/v2/dc_types,,,,,,,,,
deliverables.ts,getDeliverables,GET,/api/v2/sdp/{engagement_id}/deliverables,,,,,,,,,
deliverables.ts,getScheduledDeliverables,GET,/api/v2/sdp/{engagement_id}/deliverables/scheduled,,,,,,,,,
deliverables.ts,getClosedDeliverables,GET,/api/v2/sdp/{engagement_id}/deliverables/closed,,,,,,,,,
deliverables.ts,getActiveDeliverables,GET,/api/v2/sdp/{engagement_id}/deliverables/active,,,,,,,,,
deliverables.ts,updateTaskStatus,PUT,/api/v2/sdp/completions,,,,,,,,,
documentation.ts,getDocumentation,GET,/api/v2/documentation,,,,,,,,,
documentation.ts,createDocumentation,POST,/api/v2/documentation,,,,,,,,,
documentation.ts,updateDocumentation,PATCH,/api/v2/documentation/{doc_id},,,,,,,,,
documentation.ts,deleteDocumentation,DELETE,/api/v2/documentation/{doc_id},,,,,,,,,
downloads.ts,getPresignedUrl,POST,/api/v2/workflows/downloads,,,,,,,,,
engagements.ts,getEngagementsUsers,GET,/api/v2/engagements/users,,,,,,,,,
engagements.ts,getEngagements,GET,/api/v2/engagements,api\v2\routers\manager\bookings_common.py,get_available_engagements,/engagements,DC_ENGAGEMENT_HDR,,,,,
engagements.ts,getDeletedEngagements,GET,/api/v2/engagements/deleted,,,,,,,,,
engagements.ts,undeleteEngagement,PUT,/api/v2/engagements/{dc_engagement_id},,,,,,,,,
engagements.ts,createEngagement,POST,/api/v2/engagements,,,,,,,,,
engagements.ts,updateEngagement,PATCH,/api/v2/engagements/{dc_engagement_id},,,,,,,,,
engagements.ts,deleteEngagement,DELETE,/api/v2/engagements/{dc_engagement_id},,,,,,,,,
